City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,aykol,38.1751,77.2132,-0.09,29,56,0.5,CN,1736138510
168,hailin,44.5833,129.4167,-12.43,72,86,1.33,CN,1736138511
169,pavlodar,52.3,76.95,-7.03,95,88,2.61,KZ,1736138513
170,malango,-2.9627,119.9001,28.35,66,74,0.63,ID,1736138514
171,dudinka,69.4058,86.1778,-17.38,84,100,6.06,RU,1736138515
172,taupo,-38.6833,176.0833,15.32,65,74,4.21,NZ,1736138516
173,benghazi,32.1167,20.0667,15.76,73,13,0.96,LY,1736138517
174,wright,45.1833,-93.9502,-12.79,54,4,3.97,US,1736138518
175,aberdeen,57.1437,-2.0981,0.86,99,100,6.56,GB,1736138519
176,alaghsas,17.0187,8.0168,15.51,26,3,3.15,NE,1736138521
177,atar,20.5169,-13.0499,13.87,25,0,3.7,MR,1736138522
178,manokwari,-0.8667,134.0833,28.17,77,79,4.74,ID,1736138525
179,kiunga,-6.1219,141.2906,33.75,51,87,1.08,PG,1736138526
180,waingapu,-9.6567,120.2641,30.56,66,56,3.63,ID,1736138528
181,uturoa,-16.7333,-151.4333,27.82,65,7,2.8,PF,1736138529
182,bilibino,68.0546,166.4372,-25.35,62,79,0.83,RU,1736138530
183,kangding,30.0513,101.9603,15.61,22,30,1.1,CN,1736138531
184,hendrina,-26.1588,29.7153,17.78,89,95,1.75,ZA,1736138532
185,kapuskasing,49.4169,-82.4331,-14.47,91,100,3.28,CA,1736138533
186,christies beach,-35.1396,138.4698,22.61,59,0,5.81,AU,1736138534
187,talnakh,69.4865,88.3972,-21.6,96,99,5.13,RU,1736138536
188,coquimbo,-29.9533,-71.3436,16.1,89,5,0.69,CL,1736138537
189,macapa,0.0389,-51.0664,24.22,91,99,3.09,BR,1736138538
190,roxas city,11.5853,122.7511,28.12,75,53,4.52,PH,1736138539
191,port pirie,-33.1833,138.0167,27.68,33,11,8.54,AU,1736138540
192,hayvoron,48.3396,29.8679,-1.74,75,97,5.07,UA,1736138541
193,shiojiri,36.1,137.9667,3.67,83,93,1.03,JP,1736138542
194,papao,-17.75,-149.55,27.59,63,14,1.72,PF,1736138543
195,karratha,-20.7377,116.8463,35.57,41,48,4.67,AU,1736138545
196,nova sintra,14.8667,-24.7167,23.57,65,0,8.9,CV,1736138546
197,wiwili,13.6268,-85.8254,21.41,95,73,1.46,NI,1736138547
198,armacao de buzios,-22.7469,-41.8817,21.98,93,4,2.36,BR,1736138526
199,paraiso,9.8383,-83.8656,18.01,95,92,1.58,CR,1736138550
200,lihue,21.9789,-159.3672,22.08,84,2,5.09,US,1736138460
201,le port,-20.9373,55.2919,28.83,84,2,1.72,RE,1736138553
202,morant bay,17.8815,-76.4093,23.8,83,100,5.47,JM,1736138554
203,mastacani,45.7833,28.0333,0.69,60,88,7.19,RO,1736138555
204,mersing,2.4312,103.8405,28.44,73,100,5.35,MY,1736138556
205,verkhnyaya sinyachikha,57.976,61.6673,-9.44,89,12,3.86,RU,1736138557
206,mhango,-3.2833,32.85,18.96,88,88,1.35,TZ,1736138560
207,howrah,22.5892,88.3103,24.3,37,0,0.57,IN,1736138561
208,ribeira grande,38.5167,-28.7,18.76,93,100,8.49,PT,1736138562
209,huarmey,-10.0681,-78.1522,21.19,85,95,3.0,PE,1736138563
210,yuzhno-kurilsk,44.0306,145.8556,3.25,94,100,9.94,RU,1736138564
211,cooper's town,26.8667,-77.5167,20.54,63,92,5.6,BS,1736138565
